,id_expense,value,date,account_number,category_id,main_category,secondary_category,essential
808,809,-136.2,2025-02-01,3333,27,Clothing,Shoes,Non-Essentials
809,810,-34.15,2025-11-13,3333,26,Public Transports,Bus,Essentials
810,811,-91.97,2023-11-11,2222,6,Home Expenses,Electricity,Essentials
811,812,-144.74,2024-05-21,1111,15,Groceries,Groceries,Essentials
812,813,-162.31,2023-08-14,3333,10,Holidays,Hotel Stays,Non-Essentials
813,814,-52.54,2024-11-05,3333,16,Leisure,Restaurant,Non-Essentials
814,815,-85.31,2024-11-14,2222,3,Purchases,Home Items,Non-Essentials
815,816,-56.07,2024-04-07,2222,5,Home Expenses,Water,Essentials
816,817,-59.79,2024-03-31,2222,1,Car,Fuel,Essentials
817,818,-793.6,2023-09-10,1111,4,Purchases,Electronics,Non-Essentials
818,819,-75.55,2024-09-19,3333,21,Health,Pharmacy,Essentials
819,820,-64.33,2024-12-15,3333,18,Health,Medical Appointments,Essentials
820,821,-705.78,2024-07-09,3333,23,Taxes,Income Taxes,Essentials
821,822,-901.74,2023-12-16,2222,4,Purchases,Electronics,Non-Essentials
822,823,-13.13,2025-04-04,2222,14,Leisure,Bar,Non-Essentials
823,824,-189.3,2023-01-20,3333,23,Taxes,Income Taxes,Essentials
824,825,-74.19,2023-09-16,1111,21,Health,Pharmacy,Essentials
825,826,-30.54,2024-07-01,1111,14,Leisure,Bar,Non-Essentials
826,827,-202.58,2025-01-28,3333,28,Clothing,Clothes,Non-Essentials
827,828,-878.22,2025-05-06,3333,9,Holidays,Airplane,Non-Essentials
828,829,-43.8,2024-12-25,2222,16,Leisure,Restaurant,Non-Essentials
829,830,-35.81,2025-05-26,3333,21,Health,Pharmacy,Essentials
830,831,-178.65,2024-04-13,2222,27,Clothing,Shoes,Non-Essentials
831,832,-87.21,2024-09-17,2222,25,Public Transports,Train,Essentials
833,834,-94.81,2023-07-11,1111,28,Clothing,Clothes,Non-Essentials
834,835,-140.19,2024-08-08,3333,23,Taxes,Income Taxes,Essentials
835,836,-171.25,2023-01-22,2222,18,Health,Medical Appointments,Essentials
836,837,-27.89,2023-10-07,2222,26,Public Transports,Bus,Essentials
837,838,-127.25,2023-09-13,2222,18,Health,Medical Appointments,Essentials
838,839,-111.63,2023-01-15,3333,1,Car,Fuel,Essentials
839,840,-225.65,2024-12-07,1111,15,Groceries,Groceries,Essentials
840,841,-208.52,2023-03-28,3333,28,Clothing,Clothes,Non-Essentials
841,842,-145.4,2024-04-05,1111,16,Leisure,Restaurant,Non-Essentials
842,843,-86.07,2023-10-01,3333,3,Purchases,Home Items,Non-Essentials
843,844,-95.72,2025-05-15,2222,13,Leisure,Activities,Non-Essentials
844,845,-12.67,2023-08-20,2222,14,Leisure,Bar,Non-Essentials
845,846,-16.24,2023-08-30,2222,26,Public Transports,Bus,Essentials
846,847,-170.78,2024-06-26,1111,11,Holidays,Extra Holiday Expenses,Non-Essentials
847,848,-123.8,2025-03-17,1111,1,Car,Fuel,Essentials
848,849,-282.28,2025-11-21,1111,11,Holidays,Extra Holiday Expenses,Non-Essentials
849,850,-136.02,2025-09-26,1111,16,Leisure,Restaurant,Non-Essentials
850,851,-10.53,2025-07-31,2222,13,Leisure,Activities,Non-Essentials
851,852,-138.47,2023-01-11,2222,11,Holidays,Extra Holiday Expenses,Non-Essentials
852,853,-80.26,2024-12-27,1111,28,Clothing,Clothes,Non-Essentials
853,854,-459.26,2024-02-09,1111,4,Purchases,Electronics,Non-Essentials
854,855,-56.29,2023-11-11,2222,21,Health,Pharmacy,Essentials
855,856,-917.45,2023-01-15,1111,4,Purchases,Electronics,Non-Essentials
856,857,-16.26,2025-08-21,2222,26,Public Transports,Bus,Essentials
857,858,-36.94,2025-05-27,1111,13,Leisure,Activities,Non-Essentials
858,859,-84.92,2023-08-11,2222,16,Leisure,Restaurant,Non-Essentials
859,860,-42.77,2023-11-28,1111,26,Public Transports,Bus,Essentials
860,861,-77.24,2023-01-12,2222,13,Leisure,Activities,Non-Essentials
861,862,-55.72,2024-01-24,2222,27,Clothing,Shoes,Non-Essentials
862,863,-66.09,2025-05-12,3333,2,Car,Maintenance,Essentials
864,865,-288.64,2024-06-28,1111,7,Home Expenses,Heating,Essentials
865,866,-172.27,2025-10-11,3333,15,Groceries,Groceries,Essentials
866,867,-42.94,2025-03-29,3333,27,Clothing,Shoes,Non-Essentials
867,868,-279.36,2025-03-07,1111,28,Clothing,Clothes,Non-Essentials
868,869,-959.79,2023-02-13,1111,4,Purchases,Electronics,Non-Essentials
869,870,-40.32,2023-01-28,3333,5,Home Expenses,Water,Essentials
870,871,-252.04,2024-12-01,2222,9,Holidays,Airplane,Non-Essentials
871,872,-66.87,2025-06-08,2222,16,Leisure,Restaurant,Non-Essentials
872,873,-120.56,2023-06-19,2222,11,Holidays,Extra Holiday Expenses,Non-Essentials
873,874,-817.61,2025-11-13,1111,9,Holidays,Airplane,Non-Essentials
874,875,-481.14,2023-08-24,2222,9,Holidays,Airplane,Non-Essentials
875,876,-64.52,2025-05-28,1111,27,Clothing,Shoes,Non-Essentials
876,877,-155.97,2023-07-31,3333,18,Health,Medical Appointments,Essentials
877,878,-165.63,2024-01-07,1111,28,Clothing,Clothes,Non-Essentials
878,879,-540.24,2023-11-01,1111,23,Taxes,Income Taxes,Essentials
879,880,-175.68,2023-03-20,2222,4,Purchases,Electronics,Non-Essentials
880,881,-284.4,2025-05-23,1111,7,Home Expenses,Heating,Essentials
881,882,-20.0,2024-03-03,2222,24,Telecom,Telecom,Essentials
882,883,-181.24,2024-04-18,1111,15,Groceries,Groceries,Essentials
884,885,-210.97,2024-09-15,1111,15,Groceries,Groceries,Essentials
885,886,-281.79,2024-12-19,3333,10,Holidays,Hotel Stays,Non-Essentials
886,887,-111.74,2023-04-08,1111,15,Groceries,Groceries,Essentials
887,888,-30.14,2024-10-20,1111,2,Car,Maintenance,Essentials
888,889,-168.01,2023-07-26,2222,11,Holidays,Extra Holiday Expenses,Non-Essentials
889,890,-75.23,2025-10-03,2222,6,Home Expenses,Electricity,Essentials
891,892,-118.3,2023-09-24,2222,1,Car,Fuel,Essentials
892,893,-76.72,2025-01-10,3333,13,Leisure,Activities,Non-Essentials
893,894,-470.2,2025-01-31,1111,23,Taxes,Income Taxes,Essentials
894,895,-34.84,2025-02-25,1111,25,Public Transports,Train,Essentials
895,896,-173.96,2023-09-04,1111,4,Purchases,Electronics,Non-Essentials
896,897,-777.83,2024-01-26,1111,23,Taxes,Income Taxes,Essentials
897,898,-100.24,2023-07-22,1111,27,Clothing,Shoes,Non-Essentials
898,899,-69.52,2024-09-09,3333,16,Leisure,Restaurant,Non-Essentials
899,900,-198.45,2024-02-18,3333,18,Health,Medical Appointments,Essentials
900,901,-71.49,2023-09-19,1111,28,Clothing,Clothes,Non-Essentials
901,902,-187.62,2024-06-01,3333,15,Groceries,Groceries,Essentials
902,903,-90.54,2025-07-07,3333,13,Leisure,Activities,Non-Essentials
903,904,-41.14,2025-06-12,1111,27,Clothing,Shoes,Non-Essentials
904,905,-112.85,2025-10-28,1111,18,Health,Medical Appointments,Essentials
905,906,-109.92,2023-09-22,2222,6,Home Expenses,Electricity,Essentials
906,907,-288.07,2023-05-05,3333,2,Car,Maintenance,Essentials
907,908,-242.96,2025-03-25,2222,7,Home Expenses,Heating,Essentials
908,909,-28.96,2025-11-17,1111,26,Public Transports,Bus,Essentials
909,910,-93.77,2025-11-09,2222,6,Home Expenses,Electricity,Essentials
910,911,-82.35,2025-03-31,3333,16,Leisure,Restaurant,Non-Essentials
911,912,-203.46,2023-01-08,1111,10,Holidays,Hotel Stays,Non-Essentials
912,913,-252.47,2023-01-19,3333,23,Taxes,Income Taxes,Essentials
913,914,-85.5,2024-06-14,2222,16,Leisure,Restaurant,Non-Essentials
914,915,-496.36,2024-07-03,3333,9,Holidays,Airplane,Non-Essentials
915,916,-212.55,2023-04-04,3333,4,Purchases,Electronics,Non-Essentials
916,917,-491.84,2023-10-31,2222,9,Holidays,Airplane,Non-Essentials
917,918,-38.11,2023-04-16,3333,5,Home Expenses,Water,Essentials
918,919,-1189.54,2024-03-06,3333,9,Holidays,Airplane,Non-Essentials
919,920,-51.33,2024-12-12,3333,4,Purchases,Electronics,Non-Essentials
920,921,-78.61,2024-10-26,1111,16,Leisure,Restaurant,Non-Essentials
921,922,-179.12,2024-06-24,3333,27,Clothing,Shoes,Non-Essentials
922,923,-42.25,2024-08-26,2222,5,Home Expenses,Water,Essentials
923,924,-199.01,2023-01-22,2222,2,Car,Maintenance,Essentials
924,925,-930.48,2024-07-26,1111,9,Holidays,Airplane,Non-Essentials
925,926,-585.8,2023-08-06,3333,10,Holidays,Hotel Stays,Non-Essentials
926,927,-215.79,2024-06-11,3333,28,Clothing,Clothes,Non-Essentials
927,928,-64.39,2024-02-27,2222,25,Public Transports,Train,Essentials
928,929,-524.26,2024-02-22,3333,9,Holidays,Airplane,Non-Essentials
929,930,-82.7,2025-03-20,1111,25,Public Transports,Train,Essentials
930,931,-50.12,2025-06-07,2222,16,Leisure,Restaurant,Non-Essentials
931,932,-57.07,2023-07-11,2222,5,Home Expenses,Water,Essentials
932,933,-95.94,2023-12-27,1111,6,Home Expenses,Electricity,Essentials
933,934,-443.36,2024-01-05,3333,23,Taxes,Income Taxes,Essentials
934,935,-55.26,2023-11-30,1111,11,Holidays,Extra Holiday Expenses,Non-Essentials
935,936,-35.93,2024-01-20,1111,14,Leisure,Bar,Non-Essentials
936,937,-32.16,2024-05-17,2222,5,Home Expenses,Water,Essentials
937,938,-97.33,2023-07-25,3333,25,Public Transports,Train,Essentials
938,939,-22.36,2023-01-25,3333,21,Health,Pharmacy,Essentials
939,940,-408.98,2023-02-12,1111,4,Purchases,Electronics,Non-Essentials
940,941,-126.34,2023-03-31,1111,1,Car,Fuel,Essentials
941,942,-970.12,2024-07-02,1111,9,Holidays,Airplane,Non-Essentials
942,943,-63.97,2023-01-20,1111,25,Public Transports,Train,Essentials
943,944,-78.89,2024-11-24,3333,16,Leisure,Restaurant,Non-Essentials
944,945,-56.42,2025-09-10,3333,3,Purchases,Home Items,Non-Essentials
945,946,-126.01,2024-09-21,2222,16,Leisure,Restaurant,Non-Essentials
946,947,-73.18,2023-04-25,3333,18,Health,Medical Appointments,Essentials
947,948,-68.14,2023-09-10,1111,27,Clothing,Shoes,Non-Essentials
948,949,-57.76,2024-08-30,1111,2,Car,Maintenance,Essentials
949,950,-89.78,2025-04-30,1111,21,Health,Pharmacy,Essentials
950,951,-141.22,2023-02-19,1111,1,Car,Fuel,Essentials
951,952,-146.35,2024-12-24,3333,15,Groceries,Groceries,Essentials
952,953,-106.47,2025-02-26,3333,11,Holidays,Extra Holiday Expenses,Non-Essentials
953,954,-168.1,2023-08-19,2222,27,Clothing,Shoes,Non-Essentials
954,955,-149.08,2024-04-04,1111,6,Home Expenses,Electricity,Essentials
955,956,-139.33,2024-11-14,1111,11,Holidays,Extra Holiday Expenses,Non-Essentials
956,957,-93.1,2023-06-23,1111,13,Leisure,Activities,Non-Essentials
957,958,-37.56,2025-05-27,3333,16,Leisure,Restaurant,Non-Essentials
959,960,-35.92,2024-08-10,2222,26,Public Transports,Bus,Essentials
960,961,-307.54,2025-10-19,3333,4,Purchases,Electronics,Non-Essentials
961,962,-93.96,2023-06-06,1111,13,Leisure,Activities,Non-Essentials
962,963,-53.33,2023-10-28,2222,5,Home Expenses,Water,Essentials
963,964,-41.72,2025-09-06,1111,5,Home Expenses,Water,Essentials
964,965,-598.95,2024-07-24,1111,4,Purchases,Electronics,Non-Essentials
965,966,-78.15,2023-09-19,1111,3,Purchases,Home Items,Non-Essentials
966,967,-20.87,2025-10-09,2222,14,Leisure,Bar,Non-Essentials
967,968,-154.01,2025-04-27,3333,18,Health,Medical Appointments,Essentials
968,969,-40.01,2024-05-18,2222,25,Public Transports,Train,Essentials
969,970,-187.33,2025-10-05,3333,15,Groceries,Groceries,Essentials
970,971,-85.71,2025-02-26,1111,16,Leisure,Restaurant,Non-Essentials
971,972,-600.44,2024-03-25,3333,23,Taxes,Income Taxes,Essentials
972,973,-62.33,2023-01-06,1111,3,Purchases,Home Items,Non-Essentials
973,974,-86.24,2025-08-28,1111,1,Car,Fuel,Essentials
974,975,-106.6,2024-12-16,2222,4,Purchases,Electronics,Non-Essentials
975,976,-38.84,2023-10-23,3333,5,Home Expenses,Water,Essentials
976,977,-110.62,2024-04-04,1111,15,Groceries,Groceries,Essentials
977,978,-67.21,2023-10-21,2222,28,Clothing,Clothes,Non-Essentials
978,979,-37.11,2025-05-19,2222,28,Clothing,Clothes,Non-Essentials
979,980,-219.38,2023-06-01,2222,2,Car,Maintenance,Essentials
980,981,-20.0,2023-10-04,1111,24,Telecom,Telecom,Essentials
981,982,-22.71,2024-05-16,1111,13,Leisure,Activities,Non-Essentials
982,983,-106.92,2025-05-02,1111,1,Car,Fuel,Essentials
983,984,-96.98,2023-10-14,3333,6,Home Expenses,Electricity,Essentials
984,985,-72.87,2024-09-05,2222,21,Health,Pharmacy,Essentials
985,986,-230.64,2025-06-28,3333,15,Groceries,Groceries,Essentials
986,987,-22.38,2023-08-16,1111,27,Clothing,Shoes,Non-Essentials
987,988,-267.91,2023-03-07,3333,2,Car,Maintenance,Essentials
988,989,-100.33,2023-01-23,2222,6,Home Expenses,Electricity,Essentials
989,990,-219.98,2025-07-19,3333,15,Groceries,Groceries,Essentials
990,991,-169.31,2025-10-24,2222,27,Clothing,Shoes,Non-Essentials
991,992,-60.92,2023-11-18,2222,27,Clothing,Shoes,Non-Essentials
992,993,-113.87,2023-09-14,3333,3,Purchases,Home Items,Non-Essentials
993,994,-168.09,2023-04-25,1111,7,Home Expenses,Heating,Essentials
994,995,-13.27,2023-06-08,3333,14,Leisure,Bar,Non-Essentials
995,996,-82.06,2025-04-09,2222,16,Leisure,Restaurant,Non-Essentials
996,997,-55.47,2025-01-30,3333,6,Home Expenses,Electricity,Essentials
997,998,-98.68,2023-08-11,1111,15,Groceries,Groceries,Essentials
998,999,-85.29,2024-11-18,1111,3,Purchases,Home Items,Non-Essentials
999,1000,-482.21,2023-08-07,1111,9,Holidays,Airplane,Non-Essentials
1000,1001,-211.36,2024-09-25,1111,7,Home Expenses,Heating,Essentials
1001,1002,-36.14,2023-03-08,1111,22,Taxes,Documents,Essentials
1002,1003,-142.52,2023-04-02,3333,10,Holidays,Hotel Stays,Non-Essentials
1003,1004,-56.85,2024-10-06,1111,18,Health,Medical Appointments,Essentials
1004,1005,-52.12,2024-12-31,2222,11,Holidays,Extra Holiday Expenses,Non-Essentials
1005,1006,-27.51,2024-10-06,2222,14,Leisure,Bar,Non-Essentials
1006,1007,-126.08,2023-09-23,3333,28,Clothing,Clothes,Non-Essentials
1007,1008,-9.38,2025-04-14,3333,26,Public Transports,Bus,Essentials
1008,1009,-19.09,2023-11-04,1111,21,Health,Pharmacy,Essentials
1009,1010,-657.25,2025-09-03,3333,23,Taxes,Income Taxes,Essentials
1010,1011,-108.33,2023-11-07,3333,2,Car,Maintenance,Essentials
1011,1012,-30.24,2023-07-11,3333,16,Leisure,Restaurant,Non-Essentials
1012,1013,-1084.4,2023-10-16,3333,9,Holidays,Airplane,Non-Essentials
1013,1014,-149.34,2025-10-24,3333,6,Home Expenses,Electricity,Essentials
1014,1015,-194.36,2024-11-30,2222,28,Clothing,Clothes,Non-Essentials
1015,1016,-40.17,2025-01-07,3333,5,Home Expenses,Water,Essentials
1016,1017,-60.0,2025-03-04,1111,15,Groceries,Groceries,Essentials
1017,1018,-299.34,2023-06-03,1111,7,Home Expenses,Heating,Essentials
1018,1019,-539.45,2025-10-15,1111,23,Taxes,Income Taxes,Essentials
1019,1020,-64.26,2024-09-25,3333,1,Car,Fuel,Essentials
1020,1021,-109.8,2025-07-20,2222,3,Purchases,Home Items,Non-Essentials
1021,1022,-143.41,2023-11-27,1111,6,Home Expenses,Electricity,Essentials
1022,1023,-388.26,2024-12-24,1111,10,Holidays,Hotel Stays,Non-Essentials
1023,1024,-52.25,2025-08-01,2222,3,Purchases,Home Items,Non-Essentials
1024,1025,-196.77,2025-06-24,3333,18,Health,Medical Appointments,Essentials
1025,1026,-58.19,2025-09-26,1111,5,Home Expenses,Water,Essentials
1026,1027,-87.31,2025-04-01,2222,13,Leisure,Activities,Non-Essentials
1027,1028,-20.0,2025-10-03,2222,24,Telecom,Telecom,Essentials
1028,1029,-56.12,2024-10-04,2222,13,Leisure,Activities,Non-Essentials
1029,1030,-142.8,2025-11-02,2222,3,Purchases,Home Items,Non-Essentials
1030,1031,-538.7,2023-03-29,3333,10,Holidays,Hotel Stays,Non-Essentials
1031,1032,-15.14,2024-05-16,3333,25,Public Transports,Train,Essentials
1032,1033,-20.64,2023-08-04,2222,16,Leisure,Restaurant,Non-Essentials
1033,1034,-12.12,2025-03-28,1111,14,Leisure,Bar,Non-Essentials
1034,1035,-588.22,2025-08-04,3333,9,Holidays,Airplane,Non-Essentials
1035,1036,-82.81,2025-08-17,3333,3,Purchases,Home Items,Non-Essentials
1036,1037,-92.01,2025-08-10,1111,16,Leisure,Restaurant,Non-Essentials
1037,1038,-52.45,2023-08-10,2222,3,Purchases,Home Items,Non-Essentials
1038,1039,-99.87,2024-11-04,1111,15,Groceries,Groceries,Essentials
1040,1041,-153.43,2023-08-23,2222,27,Clothing,Shoes,Non-Essentials
1041,1042,-24.98,2023-11-15,2222,16,Leisure,Restaurant,Non-Essentials
1042,1043,-49.21,2024-10-17,3333,5,Home Expenses,Water,Essentials
1043,1044,-296.71,2025-02-17,1111,2,Car,Maintenance,Essentials
1044,1045,-81.06,2025-08-27,1111,13,Leisure,Activities,Non-Essentials
1045,1046,-87.1,2023-02-16,3333,2,Car,Maintenance,Essentials
1046,1047,-117.46,2023-12-27,1111,15,Groceries,Groceries,Essentials
1047,1048,-32.08,2025-04-09,1111,5,Home Expenses,Water,Essentials
1048,1049,-268.44,2025-07-13,2222,11,Holidays,Extra Holiday Expenses,Non-Essentials
1049,1050,-29.27,2024-06-15,1111,21,Health,Pharmacy,Essentials
1050,1051,-54.96,2025-05-27,2222,2,Car,Maintenance,Essentials
1051,1052,-91.13,2024-12-16,2222,11,Holidays,Extra Holiday Expenses,Non-Essentials
1052,1053,-121.32,2023-11-26,3333,18,Health,Medical Appointments,Essentials
1053,1054,-138.67,2025-03-07,1111,15,Groceries,Groceries,Essentials
1054,1055,-82.65,2024-02-11,1111,16,Leisure,Restaurant,Non-Essentials
1055,1056,-210.35,2023-10-24,2222,28,Clothing,Clothes,Non-Essentials
1056,1057,-49.39,2024-10-10,1111,26,Public Transports,Bus,Essentials
1057,1058,-56.9,2023-10-30,2222,5,Home Expenses,Water,Essentials
1059,1060,-75.01,2025-07-11,1111,21,Health,Pharmacy,Essentials
1060,1061,-50.44,2023-07-19,1111,25,Public Transports,Train,Essentials
1061,1062,-244.06,2024-01-20,2222,7,Home Expenses,Heating,Essentials
1062,1063,-118.3,2023-12-07,3333,27,Clothing,Shoes,Non-Essentials
1063,1064,-14.73,2024-03-05,1111,14,Leisure,Bar,Non-Essentials
1064,1065,-30.96,2023-01-30,2222,26,Public Transports,Bus,Essentials
1065,1066,-11.46,2024-09-20,3333,13,Leisure,Activities,Non-Essentials
1066,1067,-714.35,2025-07-22,2222,4,Purchases,Electronics,Non-Essentials
1067,1068,-137.93,2025-05-22,3333,15,Groceries,Groceries,Essentials
1069,1070,-143.28,2023-11-30,3333,15,Groceries,Groceries,Essentials
1070,1071,-145.39,2025-06-14,3333,15,Groceries,Groceries,Essentials
1071,1072,-225.52,2023-07-23,1111,11,Holidays,Extra Holiday Expenses,Non-Essentials
1072,1073,-135.16,2023-02-03,3333,4,Purchases,Electronics,Non-Essentials
1073,1074,-75.92,2023-07-24,3333,15,Groceries,Groceries,Essentials
1074,1075,-85.44,2023-03-08,3333,16,Leisure,Restaurant,Non-Essentials
1075,1076,-262.93,2024-03-09,1111,11,Holidays,Extra Holiday Expenses,Non-Essentials
1076,1077,-91.71,2023-08-23,1111,16,Leisure,Restaurant,Non-Essentials
1077,1078,-192.58,2024-12-19,2222,18,Health,Medical Appointments,Essentials
1078,1079,-277.0,2025-03-21,1111,15,Groceries,Groceries,Essentials
1079,1080,-80.4,2025-11-05,2222,13,Leisure,Activities,Non-Essentials
1080,1081,-539.8,2024-06-25,2222,10,Holidays,Hotel Stays,Non-Essentials
1081,1082,-218.33,2023-01-09,2222,15,Groceries,Groceries,Essentials
1082,1083,-34.19,2023-11-11,2222,2,Car,Maintenance,Essentials
1083,1084,-83.8,2024-10-12,2222,21,Health,Pharmacy,Essentials
1084,1085,-145.92,2025-05-30,1111,6,Home Expenses,Electricity,Essentials
1085,1086,-97.88,2024-01-30,3333,16,Leisure,Restaurant,Non-Essentials
1086,1087,-45.4,2023-04-16,3333,25,Public Transports,Train,Essentials
1087,1088,-82.22,2025-03-10,3333,15,Groceries,Groceries,Essentials
1088,1089,-90.31,2024-10-13,3333,6,Home Expenses,Electricity,Essentials
1089,1090,-93.74,2023-07-23,3333,6,Home Expenses,Electricity,Essentials
1090,1091,-45.13,2025-03-13,3333,5,Home Expenses,Water,Essentials
1091,1092,-518.67,2023-11-22,2222,10,Holidays,Hotel Stays,Non-Essentials
1092,1093,-100.52,2023-02-22,2222,7,Home Expenses,Heating,Essentials
1093,1094,-112.89,2023-11-10,1111,1,Car,Fuel,Essentials
1094,1095,-20.0,2024-11-01,3333,24,Telecom,Telecom,Essentials
1095,1096,-6.14,2023-09-25,2222,14,Leisure,Bar,Non-Essentials
1096,1097,-66.84,2025-01-03,1111,25,Public Transports,Train,Essentials
1097,1098,-852.52,2024-03-30,2222,9,Holidays,Airplane,Non-Essentials
1098,1099,-197.79,2024-05-17,3333,7,Home Expenses,Heating,Essentials
1099,1100,-39.67,2023-04-16,2222,14,Leisure,Bar,Non-Essentials
1100,1101,-188.3,2023-02-17,3333,3,Purchases,Home Items,Non-Essentials
1101,1102,-706.86,2023-08-16,2222,23,Taxes,Income Taxes,Essentials
1102,1103,-20.0,2025-11-01,2222,24,Telecom,Telecom,Essentials
1103,1104,-547.3,2023-07-10,1111,10,Holidays,Hotel Stays,Non-Essentials
1104,1105,-176.69,2024-03-01,2222,18,Health,Medical Appointments,Essentials
1105,1106,-516.49,2023-02-14,2222,4,Purchases,Electronics,Non-Essentials
1106,1107,-107.57,2023-06-06,1111,3,Purchases,Home Items,Non-Essentials
1107,1108,-23.9,2024-10-04,3333,26,Public Transports,Bus,Essentials
1108,1109,-125.11,2024-01-04,2222,16,Leisure,Restaurant,Non-Essentials
1109,1110,-140.36,2023-03-06,1111,1,Car,Fuel,Essentials
1111,1112,-57.32,2023-11-21,3333,16,Leisure,Restaurant,Non-Essentials
1112,1113,-98.72,2023-09-07,1111,28,Clothing,Clothes,Non-Essentials
1113,1114,-20.0,2023-06-03,3333,24,Telecom,Telecom,Essentials
1114,1115,-78.49,2024-03-18,2222,21,Health,Pharmacy,Essentials
1115,1116,-903.64,2023-03-02,2222,4,Purchases,Electronics,Non-Essentials
1116,1117,-36.59,2023-09-17,2222,5,Home Expenses,Water,Essentials
1117,1118,-340.79,2023-07-08,2222,10,Holidays,Hotel Stays,Non-Essentials
1118,1119,-119.27,2024-08-25,2222,27,Clothing,Shoes,Non-Essentials
1119,1120,-248.43,2025-06-12,3333,28,Clothing,Clothes,Non-Essentials
1120,1121,-46.51,2024-05-27,1111,14,Leisure,Bar,Non-Essentials
1121,1122,-231.15,2024-07-29,2222,7,Home Expenses,Heating,Essentials
1122,1123,-604.47,2024-09-30,1111,4,Purchases,Electronics,Non-Essentials
1123,1124,-289.83,2025-09-26,2222,7,Home Expenses,Heating,Essentials
1124,1125,-75.09,2024-07-10,2222,16,Leisure,Restaurant,Non-Essentials
1125,1126,-35.38,2025-02-23,2222,16,Leisure,Restaurant,Non-Essentials
1126,1127,-204.77,2025-02-04,3333,7,Home Expenses,Heating,Essentials
1127,1128,-100.89,2023-03-11,3333,3,Purchases,Home Items,Non-Essentials
1128,1129,-393.43,2024-08-24,3333,10,Holidays,Hotel Stays,Non-Essentials
1129,1130,-95.53,2024-12-22,2222,25,Public Transports,Train,Essentials
1130,1131,-61.46,2024-10-22,2222,1,Car,Fuel,Essentials
1131,1132,-85.77,2023-05-29,1111,6,Home Expenses,Electricity,Essentials
1132,1133,-21.72,2023-10-25,2222,26,Public Transports,Bus,Essentials
1133,1134,-59.15,2023-01-23,3333,4,Purchases,Electronics,Non-Essentials
1135,1136,-25.3,2024-08-03,3333,22,Taxes,Documents,Essentials
1136,1137,-196.0,2023-07-30,3333,7,Home Expenses,Heating,Essentials
1137,1138,-458.13,2023-06-03,3333,10,Holidays,Hotel Stays,Non-Essentials
1138,1139,-47.96,2025-06-10,2222,25,Public Transports,Train,Essentials
1140,1141,-57.02,2024-07-16,2222,18,Health,Medical Appointments,Essentials
1141,1142,-167.89,2023-12-17,3333,4,Purchases,Electronics,Non-Essentials
1143,1144,-78.5,2023-01-10,2222,1,Car,Fuel,Essentials
1144,1145,-82.76,2025-04-04,1111,11,Holidays,Extra Holiday Expenses,Non-Essentials
1145,1146,-93.44,2023-03-22,2222,22,Taxes,Documents,Essentials
1146,1147,-11.46,2025-08-20,1111,25,Public Transports,Train,Essentials
1147,1148,-230.81,2024-07-16,2222,15,Groceries,Groceries,Essentials
1148,1149,-46.03,2024-10-03,2222,13,Leisure,Activities,Non-Essentials
1149,1150,-32.35,2024-09-03,3333,16,Leisure,Restaurant,Non-Essentials
1150,1151,-84.13,2023-09-06,2222,16,Leisure,Restaurant,Non-Essentials
1151,1152,-35.14,2024-04-03,1111,16,Leisure,Restaurant,Non-Essentials
1152,1153,-63.87,2024-10-23,3333,1,Car,Fuel,Essentials
1153,1154,-147.63,2023-12-15,1111,28,Clothing,Clothes,Non-Essentials
1154,1155,-239.3,2025-01-25,3333,7,Home Expenses,Heating,Essentials
1155,1156,-143.41,2023-04-18,2222,1,Car,Fuel,Essentials
1156,1157,-59.92,2024-09-15,1111,2,Car,Maintenance,Essentials
1157,1158,-264.66,2025-02-16,2222,10,Holidays,Hotel Stays,Non-Essentials
1158,1159,-50.66,2023-10-10,3333,27,Clothing,Shoes,Non-Essentials
1159,1160,-35.59,2024-10-15,1111,16,Leisure,Restaurant,Non-Essentials
1160,1161,-721.46,2025-04-26,3333,23,Taxes,Income Taxes,Essentials
1161,1162,-106.87,2024-05-07,3333,16,Leisure,Restaurant,Non-Essentials
1162,1163,-149.19,2024-07-28,2222,18,Health,Medical Appointments,Essentials
1163,1164,-160.33,2023-07-08,2222,28,Clothing,Clothes,Non-Essentials
1164,1165,-227.85,2024-12-23,3333,11,Holidays,Extra Holiday Expenses,Non-Essentials
1165,1166,-859.48,2024-02-26,3333,9,Holidays,Airplane,Non-Essentials
1166,1167,-33.53,2025-10-09,1111,3,Purchases,Home Items,Non-Essentials
1167,1168,-82.89,2024-03-18,2222,7,Home Expenses,Heating,Essentials
1168,1169,-13.46,2023-08-03,2222,14,Leisure,Bar,Non-Essentials
1169,1170,-259.08,2025-11-18,2222,7,Home Expenses,Heating,Essentials
1170,1171,-227.13,2023-11-12,3333,11,Holidays,Extra Holiday Expenses,Non-Essentials
1171,1172,-918.42,2024-03-24,2222,4,Purchases,Electronics,Non-Essentials
1172,1173,-48.88,2025-11-17,1111,14,Leisure,Bar,Non-Essentials
1173,1174,-13.46,2024-07-23,2222,14,Leisure,Bar,Non-Essentials
1174,1175,-118.63,2023-07-29,1111,6,Home Expenses,Electricity,Essentials
1175,1176,-133.91,2023-08-14,1111,16,Leisure,Restaurant,Non-Essentials
1176,1177,-139.41,2024-01-19,2222,1,Car,Fuel,Essentials
1177,1178,-97.62,2025-07-16,2222,1,Car,Fuel,Essentials
